Datetime,Concentration
2021-01-01,17.25
2021-01-02,24.208333333333332
2021-01-03,19.375
2021-01-04,18.583333333333332
2021-01-05,14.916666666666666
2021-01-06,25.833333333333332
2021-01-07,25.166666666666668
2021-01-08,22.458333333333332
2021-01-09,28.875
2021-01-10,24.916666666666668
2021-01-11,14.0
2021-01-12,10.916666666666666
2021-01-13,8.708333333333334
2021-01-14,7.083333333333333
2021-01-15,21.791666666666668
2021-01-16,19.208333333333332
2021-01-17,24.041666666666668
2021-01-18,21.625
2021-01-19,20.708333333333332
2021-01-20,26.791666666666668
2021-01-21,21.708333333333332
2021-01-22,25.208333333333332
2021-01-23,25.416666666666668
2021-01-24,24.125
2021-01-25,14.625
2021-01-26,29.583333333333332
2021-01-27,25.208333333333332
2021-01-28,24.291666666666668
2021-01-29,27.416666666666668
2021-01-30,20.25
2021-01-31,29.625
2021-02-01,28.541666666666668
2021-02-02,32.041666666666664
2021-02-03,34.25
2021-02-04,24.541666666666668
2021-02-05,25.958333333333332
2021-02-06,29.291666666666668
2021-02-07,30.5
2021-02-08,26.25
2021-02-09,27.291666666666668
2021-02-10,29.625
2021-02-11,30.541666666666668
2021-02-12,26.26086956521739
2021-02-13,29.666666666666668
2021-02-14,27.958333333333332
2021-02-15,29.333333333333332
2021-02-16,26.875
2021-02-17,21.25
2021-02-18,32.708333333333336
2021-02-19,28.666666666666668
2021-02-20,27.666666666666668
2021-02-21,32.625
2021-02-22,38.0
2021-02-23,32.25
2021-02-24,27.416666666666668
2021-02-25,33.416666666666664
2021-02-26,29.652173913043477
2021-02-27,31.75
2021-02-28,23.958333333333332
2021-03-01,34.041666666666664
2021-03-02,32.583333333333336
2021-03-03,30.652173913043477
2021-03-04,33.125
2021-03-05,33.333333333333336
2021-03-06,34.833333333333336
2021-03-07,30.166666666666668
2021-03-08,18.958333333333332
2021-03-09,25.458333333333332
2021-03-10,34.833333333333336
2021-03-11,40.708333333333336
2021-03-12,34.375
2021-03-13,34.0
2021-03-14,36.18181818181818
2021-03-15,36.391304347826086
2021-03-16,36.458333333333336
2021-03-17,23.041666666666668
2021-03-18,32.25
2021-03-19,29.833333333333332
2021-03-20,26.833333333333332
2021-03-21,23.5
2021-03-22,28.5
2021-03-23,34.541666666666664
2021-03-24,30.0
2021-03-25,25.0
2021-03-26,24.666666666666668
2021-03-27,23.458333333333332
2021-03-28,25.416666666666668
2021-03-29,35.166666666666664
2021-03-30,36.666666666666664
2021-03-31,32.583333333333336
2021-04-01,32.333333333333336
2021-04-02,37.458333333333336
2021-04-03,27.291666666666668
2021-04-04,36.958333333333336
2021-04-05,29.75
2021-04-06,33.43478260869565
2021-04-07,35.0
2021-04-08,45.0
2021-04-09,34.30434782608695
2021-04-10,30.958333333333332
2021-04-11,34.708333333333336
2021-04-12,32.09090909090909
2021-04-13,21.583333333333332
2021-04-14,26.166666666666668
2021-04-15,22.916666666666668
2021-04-16,19.291666666666668
2021-04-17,18.304347826086957
2021-04-18,24.708333333333332
2021-04-19,27.291666666666668
2021-04-20,32.82608695652174
2021-04-21,32.0
2021-04-22,32.291666666666664
2021-04-23,39.375
2021-04-24,47.041666666666664
2021-04-25,30.75
2021-04-26,35.714285714285715
2021-04-27,38.791666666666664
2021-04-28,29.208333333333332
2021-04-29,18.695652173913043
2021-04-30,30.166666666666668
2021-05-01,34.583333333333336
2021-05-02,32.666666666666664
2021-05-03,31.916666666666668
2021-05-04,16.695652173913043
2021-05-05,20.52173913043478
2021-05-06,24.73913043478261
2021-05-07,29.434782608695652
2021-05-08,28.875
2021-05-09,28.5
2021-05-10,25.75
2021-05-11,22.583333333333332
2021-05-12,29.041666666666668
2021-05-13,33.869565217391305
2021-05-14,32.041666666666664
2021-05-15,36.416666666666664
2021-05-16,38.708333333333336
2021-05-17,43.875
2021-05-18,43.0
2021-05-19,48.916666666666664
2021-05-20,46.95652173913044
2021-05-21,48.583333333333336
2021-05-22,37.391304347826086
2021-05-23,26.708333333333332
2021-05-24,34.333333333333336
2021-05-25,40.25
2021-05-26,37.083333333333336
2021-05-27,28.91304347826087
2021-05-28,21.583333333333332
2021-05-29,26.458333333333332
2021-05-30,31.130434782608695
2021-05-31,36.791666666666664
2021-06-01,46.5
2021-06-02,44.416666666666664
2021-06-03,31.208333333333332
2021-06-04,35.125
2021-06-05,61.391304347826086
2021-06-06,57.208333333333336
2021-06-07,40.75
2021-06-08,23.045454545454547
2021-06-09,28.75
2021-06-10,27.625
2021-06-11,37.21739130434783
2021-06-12,33.916666666666664
2021-06-13,37.208333333333336
2021-06-14,29.391304347826086
2021-06-15,30.91304347826087
2021-06-16,30.125
2021-06-17,34.36363636363637
2021-06-18,39.869565217391305
2021-06-19,38.041666666666664
2021-06-20,42.458333333333336
2021-06-21,37.458333333333336
2021-06-22,19.916666666666668
2021-06-23,30.666666666666668
2021-06-24,44.95454545454545
2021-06-25,37.875
2021-06-26,36.041666666666664
2021-06-27,41.166666666666664
2021-06-28,34.333333333333336
2021-06-29,21.416666666666668
2021-06-30,27.125
2021-07-01,23.875
2021-07-02,18.041666666666668
2021-07-03,23.166666666666668
2021-07-04,25.208333333333332
2021-07-05,34.166666666666664
2021-07-06,31.26086956521739
2021-07-07,13.75
2021-07-08,10.91304347826087
2021-07-09,10.625
2021-07-10,23.73913043478261
2021-07-11,18.869565217391305
2021-07-12,29.291666666666668
2021-07-13,28.26086956521739
2021-07-14,37.08695652173913
2021-07-15,36.833333333333336
2021-07-16,27.541666666666668
2021-07-17,17.136363636363637
2021-07-18,21.91304347826087
