Datetime,DPBI
2021-01-01,
2021-01-02,
2021-01-03,
2021-01-04,
2021-01-05,
2021-01-06,
2021-01-07,
2021-01-08,
2021-01-09,
2021-01-10,
2021-01-11,
2021-01-12,
2021-01-13,
2021-01-14,
2021-01-15,
2021-01-16,
2021-01-17,
2021-01-18,
2021-01-19,
2021-01-20,
2021-01-21,
2021-01-22,
2021-01-23,
2021-01-24,
2021-01-25,
2021-01-26,
2021-01-27,
2021-01-28,
2021-01-29,
2021-01-30,0.6907483203526548
2021-01-31,0.4968939159355774
2021-02-01,0.26345065991368705
2021-02-02,-0.06578663886395014
2021-02-03,-0.13770102377968454
2021-02-04,1.3956766037076818
2021-02-05,-0.3033897898025196
2021-02-06,0.1657307346058027
2021-02-07,0.021271447470953178
2021-02-08,0.33024613140995823
2021-02-09,0.7049804882641963
2021-02-10,0.38546781517198536
2021-02-11,0.17106407148533376
2021-02-12,0.00664825852746545
2021-02-13,-0.1712925455474179
2021-02-14,0.09159779515649145
2021-02-15,-0.29274572360650625
2021-02-16,-0.40559171826910184
2021-02-17,0.33869067425424676
2021-02-18,-0.04689275080918834
2021-02-19,0.09511716030359509
2021-02-20,0.3505328644488613
2021-02-21,2.830780269781483
2021-02-22,0.5249818969012814
2021-02-23,0.5616744855049287
2021-02-24,0.9122352690058444
2021-02-25,0.012509687181901652
2021-02-26,0.8469455088225991
2021-02-27,0.40932303038305395
2021-02-28,0.1815189699757011
2021-03-01,-0.30173726134991874
2021-03-02,0.0379331111944895
2021-03-03,0.5423809539132971
2021-03-04,-0.39157585687654745
2021-03-05,-0.1152982149615174
2021-03-06,-0.2887213145786165
2021-03-07,-0.11533749293739905
2021-03-08,2.239886297655898
2021-03-09,0.4890289191143248
2021-03-10,1.7308153643624173
2021-03-11,1.1481014913138299
2021-03-12,-0.17657395745997187
2021-03-13,0.09860987265947257
2021-03-14,-0.16140540953375695
2021-03-15,-0.141058939623239
2021-03-16,-0.13415843581736606
2021-03-17,1.1385373151068
2021-03-18,-0.11265396130032243
2021-03-19,0.20093122006167874
2021-03-20,0.5740319993234968
2021-03-21,1.605948816267498
2021-03-22,1.5029414866173725
2021-03-23,1.2550094086403356
2021-03-24,0.1939225253013161
2021-03-25,0.1925501287856252
2021-03-26,-0.7676573857716141
2021-03-27,-0.39581064966842194
2021-03-28,-0.6832869816372728
2021-03-29,-0.2490099851694058
2021-03-30,1.6136179615705242
2021-03-31,0.39505143649211516
2021-04-01,-0.43743977371707554
2021-04-02,-0.28466953192748856
2021-04-03,0.9908657497138825
2021-04-04,0.43406072875574087
2021-04-05,0.6762417913742141
2021-04-06,0.17751012636338495
2021-04-07,-0.008921401333011947
2021-04-08,0.36271483470838717
2021-04-09,-0.07541312028134889
2021-04-10,-0.21100086598098255
2021-04-11,-0.38520955584588257
2021-04-12,-0.6360916607883492
2021-04-13,-0.34016198557488064
2021-04-14,-0.17139340830883523
2021-04-15,-0.8577558168435784
2021-04-16,-1.1816287333293265
2021-04-17,-0.9854271009865461
2021-04-18,-0.37361024314922897
2021-04-19,0.36621906414526234
2021-04-20,-0.44074231943786946
2021-04-21,-0.4569651376091105
2021-04-22,-0.32355532232655115
2021-04-23,0.5051936950513215
2021-04-24,1.5539474718496562
2021-04-25,-0.504754177772214
2021-04-26,-0.026996858509193117
2021-04-27,0.028860440146580384
2021-04-28,-0.44206720460222365
2021-04-29,-0.8781176467910287
2021-04-30,-0.7470884496525223
2021-05-01,0.08683865044342913
2021-05-02,-0.23367725565695818
2021-05-03,-0.6492493221039783
2021-05-04,-0.9923353301228781
2021-05-05,-1.1157269073135114
2021-05-06,-0.5364039518966005
2021-05-07,-0.5360716571894597
2021-05-08,-0.5857793866566781
2021-05-09,-0.5910757701864993
2021-05-10,-0.7403331120736767
2021-05-11,-0.9937447979484144
2021-05-12,-0.5511957138392007
2021-05-13,-0.19312941699765707
2021-05-14,0.627508402832884
2021-05-15,0.8975392967099006
2021-05-16,1.0509011785365272
2021-05-17,1.2541329475469916
2021-05-18,1.6626800276480949
2021-05-19,0.9469420392047603
2021-05-20,1.6717475300521443
2021-05-21,1.512196368592749
2021-05-22,-0.05139272789724015
2021-05-23,-0.7650710557053536
2021-05-24,-0.25016703132311463
2021-05-25,1.3478559698691979
2021-05-26,-0.0010890572871033923
2021-05-27,-0.8310574929775657
2021-05-28,-0.8727624897769224
2021-05-29,-0.40031377243512367
2021-05-30,-0.3813860959990636
2021-05-31,0.747954171838173
2021-06-01,0.5756843956737608
2021-06-02,0.9203434760484456
2021-06-03,-0.059288709725559746
2021-06-04,0.4973898787797983
2021-06-05,0.7772521482798893
2021-06-06,0.9604515261926059
2021-06-07,1.0106617725360163
2021-06-08,-0.2982108567182501
2021-06-09,-0.16893780241885029
2021-06-10,-0.5503020781616885
2021-06-11,0.14804765804382466
2021-06-12,-0.6018994868995199
2021-06-13,0.3672303149654052
2021-06-14,-0.8624771307974427
2021-06-15,-0.7460783870960443
2021-06-16,-0.8584438482935915
2021-06-17,0.1498930991540378
2021-06-18,0.402345040336629
2021-06-19,-0.3181037274224823
2021-06-20,-0.008007870143464296
2021-06-21,-0.39121956143647574
2021-06-22,-1.261752711498319
2021-06-23,-0.0692188814926579
2021-06-24,0.6017923243035789
2021-06-25,0.40378109794051004
2021-06-26,-0.3986285714733372
2021-06-27,-0.054437227307850194
2021-06-28,-0.5263608238842916
2021-06-29,-0.5078877976930081
2021-06-30,-0.6499329043009147
2021-07-01,-0.9929741235919236
2021-07-02,-1.25286205965617
2021-07-03,-0.7066482174483778
