Datetime,SO2,NO2,O3,PM25
2021-01-01,0.09999999999999999,16.258333333333333,17.25,12.291666666666666
2021-01-02,0.0,7.604166666666667,24.208333333333332,3.7916666666666665
2021-01-03,0.0,11.487499999999999,19.375,9.541666666666666
2021-01-04,0.0,14.3125,18.583333333333332,12.166666666666666
2021-01-05,0.004166666666666667,16.170833333333334,14.916666666666666,11.916666666666666
2021-01-06,0.004166666666666667,8.258333333333333,25.833333333333332,3.875
2021-01-07,0.016666666666666666,6.5375000000000005,25.166666666666668,2.4583333333333335
2021-01-08,0.025000000000000005,10.299999999999999,22.458333333333332,3.5416666666666665
2021-01-09,0.05000000000000001,8.6,28.875,1.9166666666666667
2021-01-10,0.07916666666666668,11.229166666666666,24.916666666666668,7.208333333333333
2021-01-11,0.12916666666666668,22.558333333333334,14.0,21.541666666666668
2021-01-12,0.10416666666666667,16.7,10.916666666666666,18.625
2021-01-13,0.10416666666666667,17.1375,8.708333333333334,22.375
2021-01-14,0.225,21.541666666666668,7.083333333333333,27.0
2021-01-15,0.05000000000000001,7.133333333333333,21.791666666666668,17.166666666666668
2021-01-16,0.0375,12.479166666666666,19.208333333333332,10.708333333333334
2021-01-17,0.012500000000000002,6.445833333333333,24.041666666666668,4.375
2021-01-18,0.025000000000000005,11.4375,21.625,3.2083333333333335
2021-01-19,0.0375,12.637500000000001,20.708333333333332,7.583333333333333
2021-01-20,0.0375,9.049999999999999,26.791666666666668,1.25
2021-01-21,0.19583333333333333,12.1625,21.708333333333332,9.166666666666666
2021-01-22,0.0375,9.299999999999999,25.208333333333332,0.75
2021-01-23,0.05416666666666667,10.112499999999999,25.416666666666668,0.8333333333333334
2021-01-24,0.10416666666666667,14.0,24.125,4.208333333333333
2021-01-25,0.2791666666666667,24.383333333333336,14.625,14.333333333333334
2021-01-26,0.10416666666666667,8.329166666666667,29.583333333333332,5.25
2021-01-27,0.0625,11.041666666666666,25.208333333333332,2.5416666666666665
2021-01-28,0.05416666666666667,13.8125,24.291666666666668,0.3333333333333333
2021-01-29,0.07083333333333335,11.366666666666667,27.416666666666668,1.2916666666666667
2021-01-30,0.14583333333333334,23.004166666666666,20.25,6.5
2021-01-31,0.19999999999999998,9.079166666666667,29.625,5.0
2021-02-01,0.12916666666666668,11.160869565217391,28.541666666666668,4.166666666666667
2021-02-02,0.07916666666666668,7.008333333333333,32.041666666666664,2.125
2021-02-03,0.0625,5.908333333333334,34.25,1.25
2021-02-04,0.4375,18.408333333333335,24.541666666666668,8.583333333333334
2021-02-05,0.008333333333333333,7.866666666666667,25.958333333333332,7.625
2021-02-06,0.08750000000000001,9.320833333333333,29.291666666666668,
2021-02-07,0.05833333333333333,9.6375,30.5,5.541666666666667
2021-02-08,0.08750000000000001,16.9875,26.25,6.166666666666667
2021-02-09,0.15833333333333333,17.016666666666666,27.291666666666668,9.833333333333334
2021-02-10,0.05833333333333334,15.741666666666667,29.625,8.583333333333334
2021-02-11,0.08750000000000001,10.85,30.541666666666668,6.666666666666667
2021-02-12,0.06521739130434782,9.921739130434782,26.26086956521739,9.833333333333334
2021-02-13,0.05000000000000001,8.520833333333334,29.666666666666668,4.875
2021-02-14,0.06666666666666667,13.552173913043477,27.958333333333332,5.25
2021-02-15,0.04583333333333334,7.520833333333333,29.333333333333332,3.875
2021-02-16,0.020833333333333332,9.633333333333333,26.875,2.5416666666666665
2021-02-17,0.08333333333333333,21.90833333333333,21.25,6.0
2021-02-18,0.02916666666666667,9.424999999999999,32.708333333333336,5.166666666666667
2021-02-19,0.02916666666666667,15.2875,28.666666666666668,5.208333333333333
2021-02-20,0.07083333333333335,17.787499999999998,27.666666666666668,6.125
2021-02-21,0.9333333333333332,19.941666666666666,32.625,22.583333333333332
2021-02-22,0.05217391304347827,11.895652173913044,38.0,10.125
2021-02-23,0.05416666666666667,14.841666666666667,32.25,13.041666666666666
2021-02-24,0.2625,18.16521739130435,27.416666666666668,13.208333333333334
2021-02-25,0.11739130434782609,9.817391304347826,33.416666666666664,2.7083333333333335
2021-02-26,0.3782608695652174,15.708695652173914,29.652173913043477,8.083333333333334
2021-02-27,0.041666666666666664,11.904347826086957,31.75,15.041666666666666
2021-02-28,0.020833333333333332,14.641666666666667,23.958333333333332,14.5
2021-03-01,0.02916666666666667,7.2625,34.041666666666664,2.2916666666666665
2021-03-02,0.15416666666666667,9.833333333333334,32.583333333333336,3.125
2021-03-03,0.1956521739130435,11.534782608695652,30.652173913043477,13.25
2021-03-04,0.025000000000000005,6.904166666666666,33.125,1.9166666666666667
2021-03-05,0.10000000000000002,9.68695652173913,33.333333333333336,1.375
2021-03-06,0.05000000000000001,7.226086956521739,34.833333333333336,1.2083333333333333
2021-03-07,0.06086956521739131,12.047826086956523,30.166666666666668,2.9166666666666665
2021-03-08,1.2208333333333334,25.616666666666664,18.958333333333332,16.625
2021-03-09,0.17916666666666667,17.129166666666666,25.458333333333332,12.208333333333334
2021-03-10,0.8956521739130435,14.878260869565217,34.833333333333336,16.25
2021-03-11,0.8083333333333332,8.045833333333333,40.708333333333336,9.791666666666666
2021-03-12,0.05000000000000001,7.408333333333332,34.375,5.041666666666667
2021-03-13,0.30416666666666664,7.4875,34.0,5.041666666666667
2021-03-14,0.12272727272727274,6.395454545454545,36.18181818181818,3.1363636363636362
2021-03-15,0.08260869565217392,5.813043478260869,36.391304347826086,5.25
2021-03-16,0.10000000000000002,5.956521739130435,36.458333333333336,4.708333333333333
2021-03-17,0.6083333333333333,17.8625,23.041666666666668,18.91304347826087
