Datetime,Concentration
2021-01-01,12.291666666666666
2021-01-02,3.7916666666666665
2021-01-03,9.541666666666666
2021-01-04,12.166666666666666
2021-01-05,11.916666666666666
2021-01-06,3.875
2021-01-07,2.4583333333333335
2021-01-08,3.5416666666666665
2021-01-09,1.9166666666666667
2021-01-10,7.208333333333333
2021-01-11,21.541666666666668
2021-01-12,18.625
2021-01-13,22.375
2021-01-14,27.0
2021-01-15,17.166666666666668
2021-01-16,10.708333333333334
2021-01-17,4.375
2021-01-18,3.2083333333333335
2021-01-19,7.583333333333333
2021-01-20,1.25
2021-01-21,9.166666666666666
2021-01-22,0.75
2021-01-23,0.8333333333333334
2021-01-24,4.208333333333333
2021-01-25,14.333333333333334
2021-01-26,5.25
2021-01-27,2.5416666666666665
2021-01-28,0.3333333333333333
2021-01-29,1.2916666666666667
2021-01-30,6.5
2021-01-31,5.0
2021-02-01,4.166666666666667
2021-02-02,2.125
2021-02-03,1.25
2021-02-04,8.583333333333334
2021-02-05,7.625
2021-02-06,
2021-02-07,5.541666666666667
2021-02-08,6.166666666666667
2021-02-09,9.833333333333334
2021-02-10,8.583333333333334
2021-02-11,6.666666666666667
2021-02-12,9.833333333333334
2021-02-13,4.875
2021-02-14,5.25
2021-02-15,3.875
2021-02-16,2.5416666666666665
2021-02-17,6.0
2021-02-18,5.166666666666667
2021-02-19,5.208333333333333
2021-02-20,6.125
2021-02-21,22.583333333333332
2021-02-22,10.125
2021-02-23,13.041666666666666
2021-02-24,13.208333333333334
2021-02-25,2.7083333333333335
2021-02-26,8.083333333333334
2021-02-27,15.041666666666666
2021-02-28,14.5
2021-03-01,2.2916666666666665
2021-03-02,3.125
2021-03-03,13.25
2021-03-04,1.9166666666666667
2021-03-05,1.375
2021-03-06,1.2083333333333333
2021-03-07,2.9166666666666665
2021-03-08,16.625
2021-03-09,12.208333333333334
2021-03-10,16.25
2021-03-11,9.791666666666666
2021-03-12,5.041666666666667
2021-03-13,5.041666666666667
2021-03-14,3.1363636363636362
2021-03-15,5.25
2021-03-16,4.708333333333333
2021-03-17,18.91304347826087
2021-03-18,8.708333333333334
2021-03-19,6.833333333333333
2021-03-20,9.333333333333334
2021-03-21,13.0
2021-03-22,10.666666666666666
2021-03-23,11.75
2021-03-24,7.083333333333333
2021-03-25,7.666666666666667
2021-03-26,4.0
2021-03-27,11.583333333333334
2021-03-28,3.9583333333333335
2021-03-29,5.291666666666667
2021-03-30,7.958333333333333
2021-03-31,5.5
2021-04-01,4.375
2021-04-02,3.0
2021-04-03,9.125
2021-04-04,12.375
2021-04-05,10.75
2021-04-06,7.291666666666667
2021-04-07,4.625
2021-04-08,7.0
2021-04-09,6.916666666666667
2021-04-10,7.916666666666667
2021-04-11,5.5
2021-04-12,3.0
