Datetime,Concentration
2021-01-01,16.258333333333333
2021-01-02,7.604166666666667
2021-01-03,11.487499999999999
2021-01-04,14.3125
2021-01-05,16.170833333333334
2021-01-06,8.258333333333333
2021-01-07,6.5375000000000005
2021-01-08,10.299999999999999
2021-01-09,8.6
2021-01-10,11.229166666666666
2021-01-11,22.558333333333334
2021-01-12,16.7
2021-01-13,17.1375
2021-01-14,21.541666666666668
2021-01-15,7.133333333333333
2021-01-16,12.479166666666666
2021-01-17,6.445833333333333
2021-01-18,11.4375
2021-01-19,12.637500000000001
2021-01-20,9.049999999999999
2021-01-21,12.1625
2021-01-22,9.299999999999999
2021-01-23,10.112499999999999
2021-01-24,14.0
2021-01-25,24.383333333333336
2021-01-26,8.329166666666667
2021-01-27,11.041666666666666
2021-01-28,13.8125
2021-01-29,11.366666666666667
2021-01-30,23.004166666666666
2021-01-31,9.079166666666667
2021-02-01,11.160869565217391
2021-02-02,7.008333333333333
2021-02-03,5.908333333333334
2021-02-04,18.408333333333335
2021-02-05,7.866666666666667
2021-02-06,9.320833333333333
2021-02-07,9.6375
2021-02-08,16.9875
2021-02-09,17.016666666666666
2021-02-10,15.741666666666667
2021-02-11,10.85
2021-02-12,9.921739130434782
2021-02-13,8.520833333333334
2021-02-14,13.552173913043477
2021-02-15,7.520833333333333
2021-02-16,9.633333333333333
2021-02-17,21.90833333333333
2021-02-18,9.424999999999999
2021-02-19,15.2875
2021-02-20,17.787499999999998
2021-02-21,19.941666666666666
2021-02-22,11.895652173913044
2021-02-23,14.841666666666667
2021-02-24,18.16521739130435
2021-02-25,9.817391304347826
2021-02-26,15.708695652173914
2021-02-27,11.904347826086957
2021-02-28,14.641666666666667
2021-03-01,7.2625
2021-03-02,9.833333333333334
2021-03-03,11.534782608695652
2021-03-04,6.904166666666666
2021-03-05,9.68695652173913
2021-03-06,7.226086956521739
2021-03-07,12.047826086956523
2021-03-08,25.616666666666664
2021-03-09,17.129166666666666
2021-03-10,14.878260869565217
2021-03-11,8.045833333333333
2021-03-12,7.408333333333332
2021-03-13,7.4875
2021-03-14,6.395454545454545
2021-03-15,5.813043478260869
2021-03-16,5.956521739130435
2021-03-17,17.8625
2021-03-18,7.286363636363637
2021-03-19,13.778260869565216
2021-03-20,17.275000000000002
2021-03-21,24.054166666666664
2021-03-22,24.53333333333333
2021-03-23,20.808695652173913
2021-03-24,11.804347826086957
2021-03-25,13.252173913043478
2021-03-26,5.7250000000000005
2021-03-27,6.841666666666666
2021-03-28,6.586956521739131
2021-03-29,5.658333333333334
2021-03-30,11.299999999999999
2021-03-31,8.35
2021-04-01,5.325
2021-04-02,4.308333333333334
2021-04-03,15.308333333333332
2021-04-04,10.200000000000001
2021-04-05,18.466666666666665
2021-04-06,11.721739130434784
2021-04-07,8.808333333333334
2021-04-08,6.360869565217392
2021-04-09,8.621739130434783
2021-04-10,7.033333333333334
2021-04-11,4.579166666666667
2021-04-12,4.0285714285714285
2021-04-13,10.033333333333333
2021-04-14,11.221739130434784
2021-04-15,6.1375
2021-04-16,4.425
2021-04-17,8.909090909090908
2021-04-18,9.420833333333333
2021-04-19,14.520833333333334
2021-04-20,5.356521739130435
2021-04-21,5.8500000000000005
2021-04-22,8.445833333333333
2021-04-23,11.604347826086956
2021-04-24,8.633333333333333
2021-04-25,4.2956521739130435
2021-04-26,7.715000000000001
2021-04-27,6.591666666666666
2021-04-28,8.082608695652175
2021-04-29,9.465217391304348
2021-04-30,5.130434782608695
2021-05-01,5.325
2021-05-02,8.730434782608695
2021-05-03,4.913043478260869
2021-05-04,8.965217391304348
2021-05-05,5.643478260869566
2021-05-06,7.947826086956522
2021-05-07,5.947826086956522
2021-05-08,6.841666666666666
2021-05-09,6.866666666666667
2021-05-10,7.0260869565217385
2021-05-11,5.1375
2021-05-12,5.545833333333333
2021-05-13,7.4173913043478255
2021-05-14,13.020833333333334
2021-05-15,13.112499999999999
2021-05-16,13.908333333333333
2021-05-17,10.954166666666666
2021-05-18,14.029166666666667
2021-05-19,11.904166666666667
2021-05-20,14.754545454545456
2021-05-21,12.266666666666666
2021-05-22,5.178260869565217
2021-05-23,3.5208333333333335
2021-05-24,3.6333333333333333
2021-05-25,9.958333333333334
2021-05-26,6.5375000000000005
2021-05-27,3.1478260869565213
2021-05-28,3.845833333333333
2021-05-29,5.733333333333333
2021-05-30,5.959090909090909
2021-05-31,10.966666666666667
2021-06-01,9.141666666666667
2021-06-02,12.408333333333333
2021-06-03,7.565217391304348
2021-06-04,11.658333333333333
2021-06-05,5.530434782608696
2021-06-06,5.429166666666667
2021-06-07,9.4375
2021-06-08,11.513636363636364
2021-06-09,7.0125
2021-06-10,3.973913043478261
2021-06-11,5.008695652173913
2021-06-12,4.116666666666666
2021-06-13,7.045833333333333
2021-06-14,5.5826086956521745
2021-06-15,2.983333333333333
2021-06-16,3.9333333333333336
2021-06-17,8.745454545454546
2021-06-18,10.552173913043477
2021-06-19,5.308333333333334
2021-06-20,6.404166666666666
2021-06-21,4.075
2021-06-22,3.045833333333333
2021-06-23,7.233333333333333
2021-06-24,6.072727272727272
2021-06-25,7.2250000000000005
2021-06-26,4.133333333333334
2021-06-27,2.65
2021-06-28,4.883333333333334
2021-06-29,9.883333333333333
2021-06-30,6.478260869565218
2021-07-01,2.634782608695652
2021-07-02,2.3125
2021-07-03,3.716666666666667
2021-07-04,3.5208333333333335
2021-07-05,6.529166666666666
2021-07-06,6.782608695652174
2021-07-07,3.082608695652174
2021-07-08,8.04782608695652
2021-07-09,4.017391304347826
