Datetime,value,is_high_extreme,threshold
2021-01-01,,False,1.719406463275049
2021-01-02,,False,1.719406463275049
2021-01-03,,False,1.719406463275049
2021-01-04,,False,1.719406463275049
2021-01-05,,False,1.719406463275049
2021-01-06,,False,1.719406463275049
2021-01-07,,False,1.719406463275049
2021-01-08,,False,1.719406463275049
2021-01-09,,False,1.719406463275049
2021-01-10,,False,1.719406463275049
2021-01-11,,False,1.719406463275049
2021-01-12,,False,1.719406463275049
2021-01-13,,False,1.719406463275049
2021-01-14,,False,1.719406463275049
2021-01-15,,False,1.719406463275049
2021-01-16,,False,1.719406463275049
2021-01-17,,False,1.719406463275049
2021-01-18,,False,1.719406463275049
2021-01-19,,False,1.719406463275049
2021-01-20,,False,1.719406463275049
2021-01-21,,False,1.719406463275049
2021-01-22,,False,1.719406463275049
2021-01-23,,False,1.719406463275049
2021-01-24,,False,1.719406463275049
2021-01-25,,False,1.719406463275049
2021-01-26,,False,1.719406463275049
2021-01-27,,False,1.719406463275049
2021-01-28,,False,1.719406463275049
2021-01-29,,False,1.719406463275049
2021-01-30,0.6907483203526548,False,1.719406463275049
2021-01-31,0.4968939159355774,False,1.719406463275049
2021-02-01,0.263450659913687,False,1.719406463275049
2021-02-02,-0.0657866388639501,False,1.719406463275049
2021-02-03,-0.1377010237796845,False,1.719406463275049
2021-02-04,1.3956766037076818,False,1.719406463275049
2021-02-05,-0.3033897898025196,False,1.719406463275049
2021-02-06,0.1657307346058027,False,1.719406463275049
2021-02-07,0.0212714474709531,False,1.719406463275049
2021-02-08,0.3302461314099582,False,1.719406463275049
2021-02-09,0.7049804882641963,False,1.719406463275049
2021-02-10,0.3854678151719853,False,1.719406463275049
2021-02-11,0.1710640714853337,False,1.719406463275049
2021-02-12,0.0066482585274654,False,1.719406463275049
2021-02-13,-0.1712925455474179,False,1.719406463275049
2021-02-14,0.0915977951564914,False,1.719406463275049
2021-02-15,-0.2927457236065062,False,1.719406463275049
