Toronto North, (34021) Hourly, Sulphur dioxide (SO2) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Toronto North (34021),,,,,,,,,,,,,,,,,,,,,,,,,
Address,4905 Dufferin St., Eccc,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.78047,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.467372,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 186 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air intake height,4 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Sulphur Dioxide (sulphur dioxide SO2),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, parts per billion (ppb),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
34021,Sulphur Dioxide,2/9/2021,0,0,0,0,0,0,0,0.1,0.2,0.4,0.7,0.7,0.4,0.3,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0,0
34021,Sulphur Dioxide,2/10/2021,0,0,0,0,0,0,0,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0
34021,Sulphur Dioxide,2/11/2021,0.1,0,0,0.1,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
34021,Sulphur Dioxide,2/12/2021,0.1,9999,0.1,0.1,0.1,0.1,0.1,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0
34021,Sulphur Dioxide,2/13/2021,0,0,0,0,0.1,0,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0
34021,Sulphur Dioxide,2/14/2021,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0
34021,Sulphur Dioxide,2/15/2021,0,0.1,0,0,0.1,0,0,0,0,0,0,0.1,0.2,0.2,0.1,0.1,0.1,0.1,0,0,0,0,0,0
34021,Sulphur Dioxide,2/16/2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0
34021,Sulphur Dioxide,2/17/2021,0,0.1,0,0,0,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0
34021,Sulphur Dioxide,2/18/2021,0,0,0,0.1,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0
34021,Sulphur Dioxide,2/19/2021,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0
34021,Sulphur Dioxide,2/20/2021,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.1,0.1,0.1,0.2,0.1,0.1,0.1,0,0,0,0.1
34021,Sulphur Dioxide,2/21/2021,0,0,0,0,0,0,0,0.1,0.1,0.3,0.4,1.7,3.1,3.8,5.1,4.6,2.1,0.4,0.2,0.1,0.1,0.1,0.1,0.1
34021,Sulphur Dioxide,2/22/2021,0.1,9999,0.2,0.2,0.1,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0.1,0,0,0,0,0,0
