Toronto North, (34021) Hourly, Fine particulate matter (PM2.5) Concentrations,,,,,,,,,,,,,,,,,,,,,,,,
Station,Toronto North (34021),,,,,,,,,,,,,,,,,,,,,,,,,
Address,4905 Dufferin St., Eccc,,,,,,,,,,,,,,,,,,,,,,,,
Latitude,43.78047,,,,,,,,,,,,,,,,,,,,,,,,,
Longitude,-79.467372,,,,,,,,,,,,,,,,,,,,,,,,,
Elevation, 186 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Air intake height,4 metres,,,,,,,,,,,,,,,,,,,,,,,,,
Pollutant,Fine Particulate Matter (fine particulate matter PM2.5),,,,,,,,,,,,,,,,,,,,,,,,,
Unit, micrograms per cubic metre (&micro;g/m<sup>3</sup>),,,,,,,,,,,,,,,,,,,,,,,,,
Remarks, 9999 for invalid or missing data.,,,,,,,,,,,,,,,,,,,,,,,,,
Station ID,Pollutant,Date,H01,H02,H03,H04,H05,H06,H07,H08,H09,H10,H11,H12,H13,H14,H15,H16,H17,H18,H19,H20,H21,H22,H23,H24
34021,Fine Particulate Matter,2/8/2021,2,2,3,3,4,5,5,6,6,7,7,6,6,5,5,5,7,8,11,10,9,8,8,10
34021,Fine Particulate Matter,2/9/2021,11,11,10,9,11,14,13,16,16,14,12,10,7,8,8,7,10,12,11,8,6,4,4,4
34021,Fine Particulate Matter,2/10/2021,5,6,7,9,8,7,8,8,11,9,6,6,8,7,7,8,9,10,10,11,12,12,11,11
34021,Fine Particulate Matter,2/11/2021,11,10,10,10,11,10,12,11,9,4,2,3,5,4,4,4,4,5,6,5,5,5,5,5
34021,Fine Particulate Matter,2/12/2021,5,5,6,6,5,4,4,4,4,4,4,5,6,6,5,5,11,19,24,26,22,22,18,16
34021,Fine Particulate Matter,2/13/2021,15,14,8,6,7,7,5,4,3,4,4,4,3,3,3,4,3,3,3,3,2,3,3,3
34021,Fine Particulate Matter,2/14/2021,3,3,3,3,3,3,4,4,7,6,5,4,4,4,3,4,4,7,11,13,7,6,7,8
34021,Fine Particulate Matter,2/15/2021,8,9,9,8,7,4,4,4,4,1,1,2,2,3,3,3,3,3,3,3,2,3,2,2
34021,Fine Particulate Matter,2/16/2021,2,2,2,2,3,2,2,2,2,2,2,2,3,3,3,3,2,2,2,3,6,3,3,3
34021,Fine Particulate Matter,2/17/2021,4,7,5,5,5,7,11,11,11,9,6,5,2,3,4,4,4,4,7,6,6,7,7,4
34021,Fine Particulate Matter,2/18/2021,3,4,6,3,3,3,2,3,2,2,4,5,5,6,7,9,10,8,7,7,7,7,6,5
34021,Fine Particulate Matter,2/19/2021,5,4,4,5,4,4,4,5,3,3,4,5,6,8,7,6,7,8,8,6,6,4,5,4
34021,Fine Particulate Matter,2/20/2021,5,6,6,6,5,5,6,7,7,6,6,5,4,6,6,5,5,5,6,8,7,7,9,9
34021,Fine Particulate Matter,2/21/2021,6,4,5,7,8,10,13,17,28,30,32,33,42,41,38,34,33,32,31,30,27,17,13,11
34021,Fine Particulate Matter,2/22/2021,9,10,11,10,9,9,7,4,5,7,7,8,8,9,8,6,7,9,11,13,15,14,18,29
34021,Fine Particulate Matter,2/23/2021,32,29,26,23,20,19,17,17,17,10,9,6,5,9,10,8,5,4,3,6,9,10,10,9
34021,Fine Particulate Matter,2/24/2021,7,7,8,11,13,12,11,17,35,28,19,14,13,10,11,12,15,22,27,16,3,2,2,2
34021,Fine Particulate Matter,2/25/2021,1,1,1,1,1,1,1,1,1,1,1,2,2,2,3,3,3,5,6,5,5,4,6,8
34021,Fine Particulate Matter,2/26/2021,10,9,6,5,6,4,6,8,14,9,7,9,7,6,8,8,10,12,13,14,8,6,4,5
